Rk,Team,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Year,Unnamed: 32,Att.,Md..2
25.0,Sacramento Kings*,82,19855,0.459,12.0,,0.81,0.284,0.172,0.122,0.232,0.19,,0.483,0.639,0.419,0.385,0.39,0.357,,0.502,0.858,,0.051,323,,0.21,849.0,,0.27,0.365,2005,,,
26.0,San Antonio Spurs*,82,19805,0.426,11.1,,0.861,0.29,0.2,0.159,0.213,0.139,,0.436,0.576,0.331,0.389,0.381,0.367,,0.476,0.768,,0.045,251,,0.247,766.0,,0.243,0.393,2005,,,
27.0,Seattle SuperSonics*,82,19755,0.459,12.0,,0.794,0.294,0.159,0.118,0.223,0.206,,0.486,0.649,0.402,0.358,0.398,0.357,,0.528,0.849,,0.044,260,,0.226,859.0,,0.263,0.387,2005,,,
28.0,Toronto Raptors,82,19805,0.467,11.6,,0.818,0.316,0.145,0.133,0.223,0.182,,0.492,0.616,0.418,0.386,0.427,0.356,,0.534,0.86,,0.054,343,,0.22,799.0,,0.289,0.388,2005,,,
29.0,Utah Jazz,82,19780,0.458,12.8,,0.783,0.301,0.115,0.103,0.264,0.217,,0.481,0.624,0.408,0.373,0.391,0.375,,0.525,0.852,,0.057,317,,0.223,738.0,,0.258,0.388,2005,,,
30.0,Washington Wizards*,82,19780,0.459,12.5,,0.788,0.276,0.162,0.13,0.22,0.212,,0.485,0.669,0.359,0.41,0.392,0.364,,0.564,0.829,,0.051,329,,0.212,873.0,,0.272,0.405,2005,,,
,League Average,82,19833,0.447,12.1,,0.804,0.304,0.135,0.129,0.236,0.196,,0.47,0.596,0.391,0.383,0.4,0.356,,0.544,0.854,,0.051,305,,0.231,806.0,,0.272,0.384,2005,,,
1.0,Atlanta Hawks*,82,19855,0.464,13.4,,0.714,0.281,0.152,0.073,0.208,0.286,,0.501,0.678,0.382,0.387,0.389,0.371,,0.585,0.874,,0.052,323,,0.222,924.0,,0.264,0.426,2013,,12.0,0.0
2.0,Boston Celtics*,81,19840,0.465,12.9,,0.785,0.287,0.13,0.128,0.239,0.215,,0.494,0.623,0.357,0.446,0.439,0.358,,0.555,0.914,,0.043,258,,0.237,880.0,,0.339,0.399,2013,,22.0,0.0
3.0,Brooklyn Nets*,82,19855,0.45,12.6,,0.731,0.272,0.203,0.102,0.154,0.269,,0.484,0.623,0.405,0.397,0.4,0.357,,0.484,0.871,,0.041,249,,0.231,873.0,,0.349,0.395,2013,,12.0,0.0
4.0,Charlotte Bobcats,82,19805,0.425,12.2,,0.79,0.319,0.147,0.111,0.212,0.21,,0.448,0.577,0.323,0.373,0.38,0.335,,0.507,0.838,,0.051,298,,0.26,904.0,,0.208,0.402,2013,,15.0,0.0
5.0,Chicago Bulls*,82,19830,0.437,12.2,,0.811,0.306,0.139,0.14,0.226,0.189,,0.456,0.615,0.333,0.376,0.367,0.353,,0.61,0.839,,0.039,240,,0.247,967.0,,0.229,0.359,2013,,11.0,0.0
6.0,Cleveland Cavaliers,82,19730,0.434,12.4,,0.771,0.294,0.174,0.116,0.188,0.229,,0.46,0.584,0.352,0.385,0.411,0.346,,0.509,0.821,,0.057,338,,0.222,804.0,,0.211,0.338,2013,,12.0,1.0
7.0,Dallas Mavericks,82,19980,0.462,13.0,,0.764,0.242,0.179,0.16,0.182,0.236,,0.489,0.627,0.432,0.412,0.431,0.372,,0.538,0.86,,0.031,196,,0.198,813.0,,0.232,0.363,2013,,18.0,0.0
8.0,Denver Nuggets*,82,19905,0.478,10.4,,0.783,0.415,0.172,0.08,0.115,0.217,,0.516,0.655,0.368,0.347,0.352,0.343,,0.551,0.862,,0.1,642,,0.3,1200.0,,0.345,0.351,2013,,21.0,0.0
9.0,Detroit Pistons,82,19805,0.449,11.1,,0.783,0.37,0.172,0.072,0.169,0.217,,0.474,0.609,0.347,0.34,0.366,0.356,,0.514,0.926,,0.054,320,,0.301,1125.0,,0.267,0.356,2013,,16.0,0.0
10.0,Golden State Warriors*,82,19805,0.458,13.5,,0.761,0.242,0.173,0.118,0.229,0.239,,0.475,0.65,0.361,0.391,0.418,0.403,,0.542,0.769,,0.045,284,,0.188,767.0,,0.226,0.461,2013,,21.0,1.0
11.0,Houston Rockets*,82,19780,0.461,12.8,,0.651,0.341,0.156,0.048,0.106,0.349,,0.511,0.653,0.35,0.338,0.372,0.366,,0.52,0.841,,0.066,415,,0.28,1091.0,,0.29,0.392,2013,,11.0,2.0
12.0,Indiana Pacers*,81,19590,0.436,12.7,,0.755,0.271,0.19,0.116,0.178,0.245,,0.465,0.612,0.399,0.375,0.371,0.347,,0.513,0.847,,0.048,283,,0.203,742.0,,0.251,0.364,2013,,23.0,0.0
13.0,Los Angeles Clippers*,82,19730,0.478,13.0,,0.735,0.281,0.17,0.089,0.195,0.265,,0.522,0.677,0.46,0.432,0.392,0.358,,0.556,0.877,,0.092,557,,0.194,760.0,,0.334,0.381,2013,,9.0,0.0
14.0,Los Angeles Lakers*,82,19755,0.458,13.3,,0.697,0.281,0.17,0.089,0.158,0.303,,0.503,0.649,0.396,0.424,0.402,0.355,,0.518,0.859,,0.057,356,,0.217,853.0,,0.257,0.375,2013,,19.0,0.0
15.0,Memphis Grizzlies*,82,19805,0.444,11.5,,0.834,0.304,0.196,0.125,0.21,0.166,,0.463,0.583,0.383,0.405,0.4,0.345,,0.533,0.885,,0.044,255,,0.238,858.0,,0.287,0.396,2013,,12.0,0.0
16.0,Miami Heat*,82,19880,0.496,13.2,,0.715,0.297,0.127,0.099,0.192,0.285,,0.536,0.704,0.401,0.387,0.441,0.396,,0.522,0.866,,0.066,392,,0.223,910.0,,0.384,0.433,2013,,6.0,0.0
17.0,Milwaukee Bucks*,82,19830,0.435,12.2,,0.768,0.32,0.143,0.122,0.183,0.232,,0.457,0.589,0.331,0.391,0.369,0.36,,0.548,0.817,,0.04,269,,0.252,985.0,,0.234,0.384,2013,,9.0,0.0
18.0,Minnesota Timberwolves,82,19730,0.439,12.3,,0.78,0.331,0.139,0.083,0.227,0.22,,0.477,0.613,0.328,0.415,0.393,0.305,,0.592,0.798,,0.051,313,,0.263,978.0,,0.226,0.345,2013,,10.0,0.0
19.0,New Orleans Hornets,82,19780,0.448,12.1,,0.776,0.298,0.208,0.095,0.175,0.224,,0.473,0.614,0.379,0.371,0.402,0.363,,0.521,0.858,,0.056,329,,0.229,816.0,,0.176,0.382,2013,,16.0,0.0
20.0,New York Knicks*,82,19730,0.448,14.6,,0.646,0.28,0.096,0.083,0.188,0.354,,0.487,0.613,0.372,0.38,0.407,0.376,,0.398,0.833,,0.049,302,,0.218,796.0,,0.236,0.377,2013,,30.0,2.0
21.0,Oklahoma City Thunder*,82,19830,0.481,12.6,,0.756,0.294,0.146,0.13,0.186,0.244,,0.514,0.677,0.389,0.437,0.409,0.377,,0.492,0.851,,0.071,418,,0.207,812.0,,0.252,0.44,2013,,13.0,1.0
22.0,Orlando Magic,82,19780,0.448,12.6,,0.777,0.289,0.166,0.116,0.206,0.223,,0.482,0.622,0.425,0.394,0.382,0.329,,0.563,0.82,,0.04,246,,0.226,931.0,,0.228,0.371,2013,,6.0,0.0
23.0,Philadelphia 76ers,82,19755,0.444,12.7,,0.791,0.263,0.153,0.147,0.228,0.209,,0.466,0.62,0.381,0.409,0.381,0.36,,0.56,0.855,,0.036,236,,0.204,792.0,,0.3,0.381,2013,,11.0,0.0
24.0,Phoenix Suns,82,19805,0.443,12.7,,0.79,0.281,0.158,0.113,0.237,0.21,,0.473,0.646,0.345,0.38,0.396,0.33,,0.564,0.831,,0.036,226,,0.234,1001.0,,0.276,0.366,2013,,12.0,0.0
25.0,Portland Trail Blazers,82,19855,0.448,13.6,,0.716,0.284,0.126,0.095,0.211,0.284,,0.486,0.62,0.381,0.426,0.394,0.353,,0.529,0.816,,0.059,359,,0.212,779.0,,0.239,0.397,2013,,13.0,0.0
26.0,Sacramento Kings,82,19830,0.447,12.2,,0.757,0.291,0.211,0.082,0.172,0.243,,0.474,0.63,0.392,0.385,0.354,0.363,,0.491,0.807,,0.04,247,,0.252,1044.0,,0.265,0.384,2013,,15.0,1.0
27.0,San Antonio Spurs*,82,19880,0.481,12.5,,0.736,0.298,0.178,0.096,0.163,0.264,,0.519,0.663,0.411,0.433,0.423,0.376,,0.572,0.905,,0.034,207,,0.269,1127.0,,0.35,0.412,2013,,12.0,0.0
28.0,Toronto Raptors,82,19980,0.446,13.5,,0.751,0.239,0.169,0.123,0.22,0.249,,0.48,0.655,0.427,0.404,0.372,0.343,,0.541,0.809,,0.057,353,,0.18,679.0,,0.21,0.355,2013,,9.0,0.0
29.0,Utah Jazz,82,19880,0.454,12.5,,0.794,0.274,0.192,0.105,0.224,0.206,,0.477,0.662,0.377,0.375,0.383,0.366,,0.554,0.893,,0.052,318,,0.21,851.0,,0.219,0.378,2013,,16.0,0.0
30.0,Washington Wizards,82,19855,0.435,13.1,,0.777,0.238,0.177,0.145,0.216,0.223,,0.455,0.623,0.393,0.371,0.377,0.365,,0.543,0.901,,0.047,296,,0.188,675.0,,0.33,0.457,2013,,8.0,0.0
,League Average,82,19817,0.453,12.6,,0.757,0.293,0.164,0.107,0.193,0.243,,0.483,0.631,0.381,0.395,0.393,0.359,,0.535,0.851,,0.052,318,,0.23,891.0,,0.268,0.39,2013,,14.0,0.3
1.0,Atlanta Hawks,82,19880,0.466,11.2,,0.805,0.378,0.118,0.093,0.217,0.195,,0.488,0.584,0.413,0.392,0.402,0.376,,0.534,0.869,,0.06,349,,0.289,938.0,,0.242,0.381,2007,,,
2.0,Boston Celtics,82,19855,0.468,11.7,,0.809,0.349,0.128,0.106,0.226,0.191,,0.495,0.612,0.392,0.403,0.415,0.354,,0.566,0.874,,0.049,287,,0.281,978.0,,0.255,0.379,2007,,,
3.0,Charlotte Bobcats,82,20005,0.465,11.3,,0.807,0.359,0.124,0.101,0.223,0.193,,0.489,0.594,0.427,0.364,0.413,0.363,,0.521,0.861,,0.056,313,,0.274,966.0,,0.289,0.35,2007,,,
4.0,Chicago Bulls*,82,19780,0.435,12.5,,0.784,0.317,0.1,0.12,0.247,0.216,,0.459,0.562,0.409,0.356,0.398,0.349,,0.537,0.897,,0.041,246,,0.252,827.0,,0.293,0.376,2007,,,
5.0,Cleveland Cavaliers*,82,19880,0.448,12.1,,0.806,0.306,0.134,0.13,0.236,0.194,,0.476,0.627,0.387,0.376,0.389,0.329,,0.529,0.896,,0.046,272,,0.233,849.0,,0.27,0.322,2007,,,
6.0,Dallas Mavericks*,82,19755,0.447,11.7,,0.828,0.31,0.137,0.139,0.242,0.172,,0.467,0.585,0.394,0.377,0.409,0.349,,0.479,0.84,,0.041,227,,0.246,816.0,,0.248,0.342,2007,,,
7.0,Denver Nuggets*,82,19780,0.46,12.1,,0.779,0.322,0.127,0.101,0.229,0.221,,0.49,0.62,0.421,0.357,0.404,0.353,,0.565,0.874,,0.05,328,,0.245,973.0,,0.305,0.376,2007,,,
8.0,Detroit Pistons*,82,19880,0.445,11.7,,0.81,0.339,0.112,0.118,0.242,0.19,,0.47,0.584,0.36,0.359,0.414,0.339,,0.539,0.851,,0.043,244,,0.273,918.0,,0.329,0.374,2007,,,
9.0,Golden State Warriors*,82,19755,0.462,12.4,,0.758,0.3,0.166,0.086,0.206,0.242,,0.492,0.651,0.383,0.381,0.395,0.366,,0.573,0.911,,0.049,317,,0.239,973.0,,0.288,0.371,2007,,,
10.0,Houston Rockets*,82,19855,0.429,13.0,,0.793,0.267,0.125,0.142,0.259,0.207,,0.45,0.541,0.429,0.398,0.395,0.351,,0.511,0.85,,0.034,193,,0.219,692.0,,0.211,0.349,2007,,,
11.0,Indiana Pacers,82,19780,0.457,11.9,,0.817,0.295,0.161,0.134,0.227,0.183,,0.476,0.601,0.419,0.373,0.415,0.372,,0.513,0.831,,0.047,277,,0.234,810.0,,0.335,0.365,2007,,,
12.0,Los Angeles Clippers,82,19730,0.452,12.0,,0.792,0.316,0.142,0.108,0.226,0.208,,0.482,0.583,0.432,0.422,0.402,0.339,,0.534,0.901,,0.04,233,,0.252,862.0,,0.25,0.373,2007,,,
13.0,Los Angeles Lakers*,82,20030,0.461,11.8,,0.782,0.34,0.132,0.114,0.197,0.218,,0.49,0.602,0.41,0.397,0.402,0.358,,0.522,0.868,,0.052,312,,0.264,964.0,,0.231,0.417,2007,,,
14.0,Memphis Grizzlies,82,19980,0.486,11.9,,0.781,0.341,0.123,0.104,0.214,0.219,,0.513,0.628,0.441,0.436,0.409,0.389,,0.572,0.889,,0.056,345,,0.257,993.0,,0.293,0.411,2007,,,
15.0,Miami Heat*,82,19855,0.444,13.0,,0.771,0.28,0.128,0.112,0.25,0.229,,0.471,0.59,0.412,0.388,0.404,0.355,,0.506,0.864,,0.048,268,,0.212,726.0,,0.281,0.383,2007,,,
16.0,Milwaukee Bucks,82,19855,0.48,12.2,,0.77,0.333,0.106,0.129,0.201,0.23,,0.513,0.645,0.441,0.421,0.393,0.368,,0.596,0.896,,0.056,352,,0.247,979.0,,0.295,0.432,2007,,,
17.0,Minnesota Timberwolves,82,20005,0.46,12.4,,0.778,0.319,0.105,0.117,0.237,0.222,,0.492,0.618,0.442,0.387,0.394,0.348,,0.527,0.84,,0.048,295,,0.246,924.0,,0.261,0.386,2007,,,
18.0,New Jersey Nets*,82,19880,0.45,12.8,,0.775,0.294,0.116,0.108,0.258,0.225,,0.476,0.592,0.415,0.393,0.408,0.357,,0.563,0.882,,0.039,236,,0.227,814.0,,0.251,0.408,2007,,,
19.0,New Orleans/Oklahoma City Hornets,82,19880,0.457,12.6,,0.761,0.298,0.123,0.117,0.222,0.239,,0.489,0.604,0.421,0.391,0.423,0.355,,0.505,0.839,,0.04,240,,0.241,872.0,,0.281,0.391,2007,,,
20.0,New York Knicks,82,20005,0.46,12.7,,0.768,0.29,0.134,0.108,0.237,0.232,,0.485,0.623,0.404,0.362,0.419,0.376,,0.509,0.874,,0.044,275,,0.219,815.0,,0.259,0.403,2007,,,
21.0,Orlando Magic*,82,19780,0.442,12.7,,0.789,0.292,0.124,0.117,0.256,0.211,,0.466,0.584,0.407,0.384,0.399,0.353,,0.529,0.879,,0.042,245,,0.227,740.0,,0.277,0.395,2007,,,
22.0,Philadelphia 76ers,82,19880,0.463,12.1,,0.783,0.329,0.121,0.118,0.216,0.217,,0.493,0.608,0.428,0.375,0.417,0.353,,0.549,0.861,,0.05,300,,0.255,926.0,,0.242,0.404,2007,,,
23.0,Phoenix Suns*,82,19905,0.457,12.5,,0.804,0.288,0.135,0.13,0.251,0.196,,0.48,0.63,0.412,0.379,0.396,0.363,,0.418,0.802,,0.04,256,,0.227,949.0,,0.182,0.419,2007,,,
24.0,Portland Trail Blazers,82,19955,0.471,11.6,,0.795,0.337,0.138,0.1,0.22,0.205,,0.499,0.624,0.409,0.41,0.405,0.361,,0.523,0.852,,0.054,309,,0.257,919.0,,0.261,0.427,2007,,,
25.0,Sacramento Kings,82,19805,0.472,12.6,,0.772,0.284,0.153,0.102,0.232,0.228,,0.503,0.652,0.451,0.397,0.403,0.365,,0.53,0.84,,0.046,284,,0.215,877.0,,0.291,0.375,2007,,,
26.0,San Antonio Spurs*,82,19780,0.443,11.5,,0.83,0.301,0.175,0.144,0.21,0.17,,0.465,0.572,0.395,0.397,0.415,0.334,,0.447,0.821,,0.036,206,,0.257,858.0,,0.268,0.376,2007,,,
27.0,Seattle SuperSonics,82,19830,0.476,12.1,,0.781,0.313,0.141,0.107,0.221,0.219,,0.508,0.671,0.404,0.405,0.394,0.361,,0.545,0.867,,0.047,292,,0.242,981.0,,0.305,0.36,2007,,,
28.0,Toronto Raptors*,82,19755,0.463,12.5,,0.774,0.313,0.123,0.098,0.24,0.226,,0.494,0.606,0.458,0.422,0.394,0.357,,0.508,0.867,,0.045,263,,0.231,832.0,,0.262,0.379,2007,,,
29.0,Utah Jazz*,82,19805,0.455,12.5,,0.77,0.312,0.13,0.092,0.236,0.23,,0.485,0.634,0.373,0.4,0.383,0.355,,0.488,0.838,,0.045,256,,0.246,903.0,,0.275,0.362,2007,,,
30.0,Washington Wizards*,82,19830,0.473,12.5,,0.763,0.297,0.144,0.108,0.213,0.237,,0.502,0.66,0.352,0.457,0.406,0.377,,0.559,0.848,,0.047,301,,0.228,909.0,,0.283,0.424,2007,,,
,League Average,82,19858,0.458,12.2,,0.787,0.314,0.131,0.113,0.229,0.213,,0.485,0.61,0.411,0.392,0.404,0.358,,0.527,0.863,,0.046,277,,0.244,886.0,,0.271,0.384,2007,,,
1.0,Atlanta Hawks*,82,19730,0.46,12.8,,0.792,0.272,0.165,0.1,0.255,0.208,,0.492,0.65,0.404,0.409,0.415,0.338,,0.532,0.861,,0.047,275,,0.219,865.0,,0.261,0.363,2011,,,
2.0,Boston Celtics*,82,19780,0.434,12.5,,0.795,0.279,0.161,0.133,0.222,0.205,,0.459,0.609,0.389,0.367,0.376,0.34,,0.497,0.851,,0.041,240,,0.221,784.0,,0.266,0.363,2011,,,
3.0,Charlotte Bobcats,82,19805,0.455,12.8,,0.752,0.302,0.148,0.104,0.199,0.248,,0.487,0.63,0.378,0.382,0.407,0.359,,0.541,0.847,,0.054,312,,0.238,881.0,,0.286,0.359,2011,,,
4.0,Chicago Bulls*,82,19830,0.43,13.0,,0.799,0.263,0.167,0.12,0.25,0.201,,0.456,0.632,0.345,0.389,0.378,0.326,,0.504,0.836,,0.04,251,,0.222,832.0,,0.23,0.346,2011,,,
5.0,Cleveland Cavaliers,82,19755,0.475,12.6,,0.763,0.284,0.172,0.108,0.198,0.237,,0.495,0.652,0.38,0.432,0.404,0.411,,0.548,0.87,,0.046,285,,0.228,948.0,,0.265,0.432,2011,,,
6.0,Dallas Mavericks*,82,19705,0.45,12.7,,0.778,0.265,0.186,0.116,0.211,0.222,,0.481,0.664,0.401,0.396,0.367,0.343,,0.504,0.854,,0.05,317,,0.202,798.0,,0.241,0.385,2011,,,
7.0,Denver Nuggets*,82,19705,0.459,13.3,,0.756,0.264,0.164,0.095,0.233,0.244,,0.495,0.66,0.416,0.412,0.4,0.344,,0.516,0.849,,0.042,263,,0.216,915.0,,0.255,0.396,2011,,,
8.0,Detroit Pistons,82,19880,0.486,12.3,,0.772,0.318,0.149,0.093,0.212,0.228,,0.523,0.677,0.405,0.404,0.427,0.358,,0.558,0.891,,0.055,337,,0.25,999.0,,0.29,0.401,2011,,,
9.0,Golden State Warriors,82,19830,0.467,12.3,,0.766,0.295,0.184,0.102,0.185,0.234,,0.501,0.658,0.392,0.366,0.432,0.358,,0.581,0.907,,0.053,334,,0.224,953.0,,0.267,0.381,2011,,,
10.0,Houston Rockets,82,19880,0.468,12.0,,0.821,0.273,0.211,0.112,0.224,0.179,,0.492,0.661,0.397,0.409,0.417,0.358,,0.471,0.85,,0.048,311,,0.225,961.0,,0.242,0.421,2011,,,
11.0,Indiana Pacers*,82,19780,0.449,12.9,,0.792,0.259,0.166,0.128,0.238,0.208,,0.473,0.622,0.398,0.368,0.42,0.359,,0.482,0.855,,0.044,268,,0.221,882.0,,0.258,0.403,2011,,,
12.0,Los Angeles Clippers,82,19855,0.455,13.1,,0.761,0.264,0.175,0.105,0.217,0.239,,0.484,0.656,0.404,0.406,0.376,0.365,,0.542,0.844,,0.052,311,,0.214,878.0,,0.262,0.399,2011,,,
13.0,Los Angeles Lakers*,82,19830,0.437,13.1,,0.758,0.25,0.182,0.114,0.211,0.242,,0.469,0.627,0.391,0.385,0.396,0.335,,0.542,0.894,,0.047,285,,0.209,839.0,,0.28,0.362,2011,,,
14.0,Memphis Grizzlies*,82,19880,0.457,12.9,,0.755,0.274,0.178,0.107,0.197,0.245,,0.486,0.664,0.368,0.398,0.393,0.369,,0.512,0.86,,0.046,272,,0.217,876.0,,0.26,0.408,2011,,,
15.0,Miami Heat*,82,19780,0.434,12.8,,0.761,0.262,0.189,0.114,0.195,0.239,,0.462,0.592,0.406,0.399,0.377,0.345,,0.508,0.861,,0.05,289,,0.221,765.0,,0.265,0.398,2011,,,
16.0,Milwaukee Bucks,82,19830,0.447,12.5,,0.794,0.284,0.156,0.142,0.211,0.206,,0.476,0.614,0.394,0.41,0.396,0.334,,0.535,0.858,,0.044,250,,0.228,821.0,,0.279,0.353,2011,,,
17.0,Minnesota Timberwolves,82,19780,0.468,13.1,,0.753,0.276,0.151,0.109,0.217,0.247,,0.499,0.669,0.392,0.391,0.41,0.374,,0.564,0.89,,0.059,370,,0.209,878.0,,0.291,0.38,2011,,,
18.0,New Jersey Nets,82,20005,0.465,12.5,,0.789,0.28,0.179,0.109,0.221,0.211,,0.492,0.633,0.409,0.409,0.422,0.364,,0.537,0.882,,0.052,314,,0.236,891.0,,0.284,0.386,2011,,,
19.0,New Orleans Hornets*,82,19830,0.457,13.3,,0.752,0.249,0.177,0.116,0.21,0.248,,0.49,0.685,0.409,0.384,0.387,0.357,,0.538,0.878,,0.047,274,,0.206,831.0,,0.269,0.407,2011,,,
20.0,New York Knicks*,82,19780,0.472,11.9,,0.79,0.295,0.204,0.102,0.189,0.21,,0.499,0.653,0.372,0.405,0.445,0.372,,0.458,0.826,,0.054,330,,0.24,993.0,,0.283,0.397,2011,,,
21.0,Oklahoma City Thunder*,82,20005,0.458,11.7,,0.804,0.298,0.2,0.105,0.201,0.196,,0.481,0.65,0.371,0.377,0.395,0.361,,0.488,0.88,,0.055,335,,0.236,976.0,,0.256,0.395,2011,,,
22.0,Orlando Magic*,82,19830,0.436,13.5,,0.775,0.229,0.173,0.12,0.253,0.225,,0.461,0.633,0.402,0.395,0.378,0.35,,0.509,0.874,,0.04,241,,0.187,714.0,,0.282,0.418,2011,,,
23.0,Philadelphia 76ers*,82,19930,0.451,12.4,,0.793,0.274,0.181,0.121,0.216,0.207,,0.48,0.647,0.371,0.38,0.417,0.34,,0.542,0.84,,0.041,247,,0.226,908.0,,0.228,0.38,2011,,,
24.0,Phoenix Suns,82,20005,0.472,12.9,,0.773,0.243,0.202,0.11,0.217,0.227,,0.502,0.69,0.403,0.437,0.418,0.367,,0.518,0.821,,0.045,300,,0.188,846.0,,0.302,0.402,2011,,,
25.0,Portland Trail Blazers*,82,19805,0.467,12.4,,0.768,0.296,0.177,0.093,0.203,0.232,,0.497,0.637,0.399,0.41,0.418,0.367,,0.48,0.819,,0.048,273,,0.24,869.0,,0.291,0.37,2011,,,
26.0,Sacramento Kings,82,19855,0.478,12.1,,0.802,0.261,0.221,0.112,0.208,0.198,,0.508,0.714,0.382,0.421,0.429,0.355,,0.495,0.838,,0.056,362,,0.212,957.0,,0.262,0.39,2011,,,
27.0,San Antonio Spurs*,82,19780,0.456,12.5,,0.81,0.256,0.194,0.122,0.237,0.19,,0.477,0.628,0.41,0.413,0.401,0.367,,0.485,0.835,,0.035,216,,0.221,877.0,,0.254,0.468,2011,,,
28.0,Toronto Raptors,82,19780,0.482,11.8,,0.784,0.341,0.158,0.1,0.187,0.216,,0.511,0.644,0.437,0.389,0.396,0.376,,0.515,0.882,,0.066,394,,0.256,999.0,,0.3,0.387,2011,,,
29.0,Utah Jazz,82,19880,0.459,12.7,,0.757,0.27,0.198,0.097,0.193,0.243,,0.486,0.64,0.396,0.391,0.41,0.376,,0.498,0.873,,0.045,261,,0.213,810.0,,0.28,0.426,2011,,,
30.0,Washington Wizards,82,19930,0.471,12.3,,0.777,0.295,0.178,0.098,0.207,0.223,,0.499,0.693,0.344,0.417,0.394,0.373,,0.544,0.852,,0.061,389,,0.225,957.0,,0.291,0.428,2011,,,
,League Average,82,19835,0.459,12.6,,0.778,0.276,0.178,0.11,0.214,0.222,,0.487,0.65,0.392,0.398,0.403,0.358,,0.518,0.86,,0.049,297,,0.222,883.0,,0.27,0.394,2011,,,
1.0,Atlanta Hawks,82,19855,0.473,13.8,,0.62,0.307,0.127,0.089,0.096,0.38,,0.543,0.658,0.431,0.429,0.429,0.359,,0.543,0.837,,0.058,380,,0.289,1184.0,,0.234,0.381,2019,,,
2.0,Boston Celtics*,82,19780,0.448,14.0,,0.619,0.266,0.183,0.086,0.085,0.381,,0.513,0.659,0.411,0.38,0.411,0.344,,0.498,0.844,,0.051,333,,0.279,1087.0,,0.205,0.38,2019,,,
3.0,Brooklyn Nets*,82,19980,0.456,13.4,,0.672,0.274,0.174,0.119,0.105,0.328,,0.513,0.641,0.425,0.466,0.375,0.341,,0.489,0.788,,0.051,331,,0.27,1113.0,,0.196,0.342,2019,,,
4.0,Chicago Bulls,82,19905,0.473,13.7,,0.63,0.301,0.149,0.085,0.095,0.37,,0.537,0.669,0.41,0.428,0.417,0.365,,0.522,0.811,,0.058,386,,0.283,1154.0,,0.205,0.41,2019,,,
5.0,Charlotte Hornets,82,19830,0.47,13.7,,0.624,0.308,0.143,0.083,0.091,0.376,,0.536,0.669,0.396,0.412,0.416,0.361,,0.522,0.865,,0.065,433,,0.289,1169.0,,0.214,0.422,2019,,,
6.0,Cleveland Cavaliers,82,19755,0.495,13.7,,0.638,0.305,0.137,0.101,0.095,0.362,,0.561,0.699,0.429,0.439,0.433,0.38,,0.512,0.812,,0.066,437,,0.269,1182.0,,0.221,0.407,2019,,,
7.0,Dallas Mavericks,82,19780,0.459,13.8,,0.635,0.267,0.17,0.1,0.098,0.365,,0.525,0.693,0.399,0.396,0.417,0.344,,0.516,0.82,,0.062,407,,0.238,986.0,,0.215,0.361,2019,,,
8.0,Denver Nuggets*,82,19730,0.458,13.2,,0.63,0.302,0.168,0.084,0.076,0.37,,0.528,0.666,0.408,0.428,0.36,0.339,,0.543,0.83,,0.069,424,,0.275,1087.0,,0.254,0.382,2019,,,
9.0,Detroit Pistons*,82,19855,0.469,13.1,,0.673,0.278,0.199,0.103,0.093,0.327,,0.53,0.679,0.439,0.428,0.39,0.345,,0.522,0.817,,0.058,355,,0.295,1188.0,,0.21,0.393,2019,,,
10.0,Golden State Warriors*,82,19805,0.444,14.2,,0.632,0.245,0.19,0.101,0.095,0.368,,0.5,0.681,0.377,0.393,0.394,0.347,,0.522,0.794,,0.051,354,,0.255,1045.0,,0.206,0.363,2019,,,
11.0,Houston Rockets*,82,19830,0.466,13.0,,0.656,0.293,0.195,0.094,0.073,0.344,,0.532,0.7,0.396,0.421,0.37,0.34,,0.504,0.817,,0.055,360,,0.301,1249.0,,0.264,0.359,2019,,,
12.0,Indiana Pacers*,82,19705,0.45,13.8,,0.627,0.307,0.146,0.083,0.091,0.373,,0.507,0.634,0.378,0.39,0.392,0.354,,0.53,0.876,,0.061,387,,0.275,1034.0,,0.213,0.371,2019,,,
13.0,Los Angeles Clippers*,82,19830,0.457,13.1,,0.669,0.302,0.167,0.109,0.091,0.331,,0.513,0.659,0.382,0.393,0.416,0.343,,0.504,0.799,,0.058,401,,0.276,1143.0,,0.176,0.372,2019,,,
14.0,Los Angeles Lakers,82,19780,0.452,13.4,,0.634,0.314,0.15,0.087,0.084,0.366,,0.511,0.632,0.394,0.401,0.382,0.349,,0.51,0.818,,0.068,435,,0.274,1117.0,,0.21,0.366,2019,,,
15.0,Memphis Grizzlies,82,19880,0.451,13.8,,0.614,0.301,0.136,0.091,0.086,0.386,,0.508,0.63,0.395,0.408,0.366,0.36,,0.522,0.85,,0.056,337,,0.274,996.0,,0.234,0.403,2019,,,
16.0,Miami Heat,82,19730,0.441,14.0,,0.618,0.271,0.155,0.098,0.095,0.382,,0.493,0.607,0.396,0.413,0.407,0.358,,0.507,0.837,,0.051,325,,0.258,918.0,,0.251,0.38,2019,,,
